Title,Views,Notes
USDA Rural Development Resale Properties - Foreclosure,83,"Department of Agriculture —
Data provides current information regarding single family homes and ranches for sale by the U.S. Federal Government. These previously owned properties are for sale by..."
Public Airports,83,"Earth Data Analysis Center, University of New Mexico —
This data set is a vector point digital data structure that contains the locations of General Public Use Airports in the State of New Mexico. It only contains those..."
Percent Change in Consumer Spending,83,"State of Connecticut —
Aggregated and anonymized purchase data from consumer credit and debit card spending. Spending is reported based on the ZIP code where the cardholder lives, not the..."
"National Survey of Adolescents in the United States, 1995",83,"Department of Justice —
The goal of this study was to test specific hypotheses illustrating the relationships among serious victimization experiences, the mental health effects of..."
The NOAA NCEI Global Marine Microplastics Database (1972-present),83,"National Oceanic and Atmospheric Administration, Department of Commerce —
Microplastics (i.e., plastics measuring less than 5mm) pollution is a growing problem affecting coastal communities, marine ecosystems, aquatic life, and human..."
Watershed Boundary Dataset (WBD) - USGS National Map Downloadable Data Collection,83,"Department of the Interior —
The Watershed Boundary Dataset (WBD) is a comprehensive aggregated collection of hydrologic unit data consistent with the national criteria for delineation and..."
Tropic of Cancer,83,"National Oceanic and Atmospheric Administration, Department of Commerce —
The Tropic of Cancer lies at 23d 26' 22"" (23.4394 degrees) north of the Equator and marks the most northerly latitude at which the sun can appear directly overhead at..."
Medicare Physician & Other Practitioners - by Provider and Service,82,"U.S. Department of Health & Human Services —
The Medicare Physician & Other Practitioners by Provider and Service dataset provides information on use, payments, and submitted charges organized by National..."
Medicare Physician & Other Practitioners - by Provider,82,"U.S. Department of Health & Human Services —
The Medicare Physician & Other Practitioners by Provider dataset provides information on use, payments, submitted charges and beneficiary demographic and health..."
Clinical Investigator Inspector List (CLIIL),82,"U.S. Department of Health & Human Services —
The Clinical Investigator Inspection List (CLIIL) contains names, addresses, and other pertinent information gathered from inspections of clinical investigators who..."
Medi-Span,82,"Office of Personnel Management —
Medi-Span pharmacy reference database"
"CHIRPS Version 2.0, Precipitation, Global, 0.05Â°, Daily, 1981-present, Lon0360",81,"National Oceanic and Atmospheric Administration, Department of Commerce —
This dataset has 1-day (daily) averages of the Climate Hazards Group InfraRed Precipitation with Station data (CHIRPS), which is quasi-global rainfall data set...."
National Drug Code Directory,81,"U.S. Department of Health & Human Services —
The Drug Listing Act of 1972 requires registered drug establishments to provide the Food and Drug Administration (FDA) with a current list of all drugs manufactured,..."
DC Public Employee Salary,81,"District of Columbia —
DC Department of Human Resources provides District government employees with a variety of services and programs on employee benefits, policy and procedures,..."
NBER-CES Manufacturing Industry Database,81,"Board of Governors of the Federal Reserve System —
This database is a joint effort between the National Bureau of Economic Research (NBER) and U.S. Census Bureau's Center for Economic Studies (CES), containing annual..."
"TIGER/Line Shapefile, 2020, Nation, U.S., 2020 Census Urban Area",80,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
Landsat 8,80,"National Aeronautics and Space Administration —
The Operational Land Imager (OLI) and Thermal Infrared Sensor (TIRS) are onboard the Landsat 8 satellite, have acquired images of the Earth since February 2013. The..."
USAID Global Health Supply Chain Program - Procurement and Supply Management (GHSC-PSM) Health Commodity Delivery,80,"US Agency for International Development —
Dataset containing detailed information about all health commodity orders delivered through the USAID Global Health Supply Chain Program - Procurement and Supply..."
"TIGER/Line Shapefile, 2019,  nation, U.S., Coastline National Shapefile",80,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
National Survey on Drug Use and Health (NSDUH-2014),79,"U.S. Department of Health & Human Services —
The National Survey on Drug Use and Health (NSDUH) series (formerly titled National Household Survey on Drug Abuse) primarily measures the prevalence and correlates..."
National Hydrography Dataset (NHD) - USGS National Map Downloadable Data Collection,79,"Department of the Interior —
The National Hydrography Dataset (NHD) is a feature-based database that interconnects and uniquely identifies the stream segments or reaches that make up the nation's..."
